Date,Value
2017-07-02,5415823.24406
2017-07-01,5463199.23188
2017-06-30,4529057.7655
2017-06-29,5859693.92942
2017-06-28,4893544.70261
2017-06-27,5067818.19886
2017-06-26,4323782.37771
2017-06-25,5333679.66825
2017-06-24,6125531.76571
2017-06-23,5791396.09454
2017-06-22,5729387.77125
2017-06-21,5639440.47775
2017-06-20,5761788.39289
2017-06-19,5066179.98396
2017-06-18,5461151.4595
2017-06-17,5304593.52034
2017-06-16,5540766.44712
2017-06-15,5217092.61125
2017-06-14,5967683.91363
2017-06-13,5779114.42341
2017-06-12,6255384.1416
2017-06-11,5916952.85643
2017-06-10,6408509.03145
2017-06-09,6905690.49109
2017-06-08,7060707.82519
2017-06-07,6705146.00153
2017-06-06,6586584.01631
2017-06-05,5967104.60829
2017-06-04,7190853.40616
2017-06-03,5437774.58696
2017-06-02,6245228.67373
2017-06-01,5808558.0762
2017-05-31,6132063.83141
2017-05-30,5260813.81305
2017-05-29,5262057.4296
2017-05-28,5121736.68364
2017-05-27,5119620.43586
2017-05-26,5871333.85971
2017-05-25,5524488.081
2017-05-24,5668946.09242
2017-05-23,4499105.2965
2017-05-22,4331490.18988
2017-05-21,4862316.83169
2017-05-20,4746879.57975
2017-05-19,3986174.98086
2017-05-18,4241263.69916
2017-05-17,3356331.71175
2017-05-16,4090703.34962
2017-05-15,4018027.923
2017-05-14,3885820.58741
2017-05-13,3731717.8665
2017-05-12,3468076.52628
2017-05-11,3665040.51375
2017-05-10,3715393.61083
2017-05-09,4062173.2011
2017-05-08,3505619.68821
2017-05-07,3610789.2028
2017-05-06,2779169.81696
2017-05-05,3500746.02212
2017-05-04,2760373.22543
2017-05-03,3149553.46759
2017-05-02,2878277.98219
2017-05-01,2720215.54725
2017-04-30,3119178.52112
2017-04-29,2501502.23129
2017-04-28,2725014.34977
2017-04-27,2740621.52331
2017-04-26,2615123.62125
2017-04-25,2119150.85645
2017-04-24,2732614.9
2017-04-23,2596344.05
2017-04-22,2983037.75
2017-04-21,2456659.0
2017-04-20,2444373.75
2017-04-19,2500974.8
2017-04-18,2278752.4
2017-04-17,2320594.4
2017-04-16,2416965.0
2017-04-15,2292003.0
2017-04-14,2072006.75
2017-04-13,2357939.5
2017-04-12,2769337.4
2017-04-11,2406320.7
2017-04-10,2532236.55
2017-04-09,2143895.6
2017-04-08,2599338.0
2017-04-07,2391592.35
2017-04-06,2485786.8
2017-04-05,1939250.2
2017-04-04,2669294.6
2017-04-03,2296746.6
2017-04-02,1942180.5
2017-04-01,1987418.5
2017-03-31,2262000.0
2017-03-30,1943117.0
2017-03-29,2192722.65
2017-03-28,1848434.4
2017-03-27,2046573.52
2017-03-26,1696707.27
2017-03-25,2189770.8
2017-03-24,2076531.0
2017-03-23,2248010.7
2017-03-22,2188622.5
2017-03-21,1948540.0
2017-03-20,2267078.8
2017-03-19,1983179.8
2017-03-18,2279486.3
2017-03-17,2470016.0
2017-03-16,2446625.6
2017-03-15,2657111.6
2017-03-14,2417768.25
2017-03-13,2509817.7
2017-03-12,2359087.2
2017-03-11,2329338.9
2017-03-10,2399093.4
2017-03-09,2250201.3
2017-03-08,2609873.4
2017-03-07,2484820.8
2017-03-06,2524232.85
2017-03-05,2317878.0
2017-03-04,2670737.95
2017-03-03,2702443.5
2017-03-02,2416017.4
2017-03-01,2451281.25
2017-02-28,2305227.8
2017-02-27,2725922.6
2017-02-26,2521531.75
2017-02-25,2628973.5
2017-02-24,2381379.0
2017-02-23,2084941.35
2017-02-22,2066770.0
2017-02-21,2121402.4
2017-02-20,1835140.5
2017-02-19,2102643.2
2017-02-18,2094835.8
2017-02-17,2071526.4
2017-02-16,1822485.25
2017-02-15,2198282.4
2017-02-14,2090708.955
2017-02-13,1790373.935
2017-02-12,1792077.0
2017-02-11,1914816.0
2017-02-10,2148177.0
2017-02-09,2002536.9
2017-02-08,2077363.75
2017-02-07,1694793.75
2017-02-06,2069248.1
2017-02-05,1935046.35
2017-02-04,1970791.5
2017-02-03,2047540.5
