Date,OFR FSI,Credit,Equity valuation,Safe assets,Funding,Volatility,United States,Other advanced economies,Emerging markets
2000-02-07,1.387,0.504,0.045,0.103,0.383,0.352,1.584,-0.055,-0.142
2000-02-08,1.169,0.569,0.002,0.083,0.224,0.291,1.332,-0.019,-0.144
2000-02-09,1.429,0.506,0.078,0.17,0.289,0.386,1.596,-0.018,-0.149
2000-02-10,1.264,0.506,0.065,0.108,0.249,0.336,1.51,-0.084,-0.162
2000-02-11,1.348,0.519,0.144,0.135,0.179,0.371,1.549,-0.046,-0.155
2000-02-14,1.434,0.57,0.144,0.048,0.292,0.38,1.645,-0.073,-0.138
2000-02-15,1.186,0.528,0.114,0.079,0.115,0.35,1.358,-0.072,-0.1
2000-02-16,1.43,0.532,0.152,0.113,0.206,0.427,1.557,-0.027,-0.1
2000-02-17,1.37,0.483,0.15,0.085,0.19,0.462,1.532,-0.066,-0.096
2000-02-18,1.663,0.544,0.267,0.011,0.264,0.577,1.837,-0.082,-0.092
2000-02-22,1.802,0.711,0.26,0.07,0.213,0.548,1.808,0.07,-0.076
2000-02-23,1.502,0.639,0.241,0.072,0.069,0.481,1.546,0.029,-0.073
2000-02-24,1.587,0.711,0.256,-0.012,0.138,0.494,1.662,-0.003,-0.072
2000-02-25,1.667,0.707,0.317,-0.059,0.194,0.508,1.772,-0.039,-0.066
2000-02-28,1.594,0.71,0.282,-0.003,0.085,0.52,1.667,-0.01,-0.063
2000-02-29,1.53,0.812,0.238,-0.078,0.112,0.446,1.612,-0.026,-0.056
2000-03-01,1.668,0.799,0.195,0.099,0.143,0.432,1.582,0.143,-0.057
2000-03-02,1.485,0.744,0.185,0.038,0.129,0.389,1.518,0.025,-0.058
2000-03-03,1.221,0.821,0.114,-0.016,0.066,0.236,1.257,0.024,-0.06
2000-03-06,1.446,0.834,0.162,0.002,0.082,0.366,1.441,0.064,-0.059
2000-03-07,1.842,0.852,0.262,0.043,0.081,0.604,1.714,0.16,-0.032
2000-03-08,1.954,0.827,0.23,0.03,0.149,0.718,1.785,0.149,0.02
2000-03-09,1.907,0.914,0.139,0.057,0.151,0.646,1.63,0.26,0.017
